cod_regiao;Abacate;;Abacaxi*;;Açaí;;Alfafa fenada;;Algodão arbóreo (em caroço);;Algodão herbáceo (em caroço);;Alho;;Amendoim (em casca);;Arroz (em casca);;Aveia (em grão);;Azeitona;;Banana (cacho);;Batata-doce;;Batata-inglesa;;Borracha (látex coagulado);;Borracha (látex líquido);;Cacau (em amêndoa);;Café (em grão) Total;;Café (em grão) Arábica;;Café (em grão) Canephora;;Caju;;Cana-de-açúcar;;Cana para forragem;;Caqui;;Castanha de caju;;Cebola;;Centeio (em grão);;Cevada (em grão);;Chá-da-índia (folha verde);;Coco-da-baía*;;Dendê (cacho de coco);;Erva-mate (folha verde);;Ervilha (em grão);;Fava (em grão);;Feijão (em grão);;Figo;;Fumo (em folha);;Girassol (em grão);;Goiaba;;Guaraná (semente);;Juta (fibra);;Laranja;;Limão;;Linho (semente);;Maçã;;Malva (fibra);;Mamão;;Mamona (baga);;Mandioca;;Manga;;Maracujá;;Marmelo;;Melancia;;Melão;;Milho (em grão);;Noz (fruto seco);;Palmito;;Pera;;Pêssego;;Pimenta-do-reino;;Rami (fibra);;Sisal ou agave (fibra);;Soja (em grão);;Sorgo (em grão);;Tangerina;;Tomate;;Trigo (em grão);;Triticale (em grão);;Tungue (fruto seco);;Urucum (semente);;Uva;
35001;-;Mil Reais;721;Mil Reais;-;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;49895;Mil Reais;-;Mil Reais;-;Mil Reais;29137;Mil Reais;...;Mil Reais;-;Mil Reais;271;Mil Reais;271;Mil Reais;-;Mil Reais;...;Mil Reais;458422;Mil Reais;...;Mil Reais;437;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;564;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;439;Mil Reais;-;Mil Reais;-;Mil Reais;220397;Mil Reais;69343;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;827;Mil Reais;-;Mil Reais;3001;Mil Reais;2747;Mil Reais;310;Mil Reais;-;Mil Reais;60;Mil Reais;-;Mil Reais;6435;Mil Reais;-;Mil Reais;67;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;8605;Mil Reais;-;Mil Reais;23029;Mil Reais;23400;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;135;Mil Reais;87551;Mil Reais
35002;-;Mil Reais;-;Mil Reais;-;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;24131;Mil Reais;-;Mil Reais;-;Mil Reais;32784;Mil Reais;...;Mil Reais;-;Mil Reais;392;Mil Reais;392;Mil Reais;-;Mil Reais;...;Mil Reais;408822;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;83705;Mil Reais;37996;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;15480;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;22999;Mil Reais;2009;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais
35003;117;Mil Reais;22;Mil Reais;-;Mil Reais;...;Mil Reais;-;Mil Reais;21257;Mil Reais;-;Mil Reais;2591;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;10506;Mil Reais;-;Mil Reais;-;Mil Reais;76426;Mil Reais;...;Mil Reais;-;Mil Reais;704;Mil Reais;704;Mil Reais;-;Mil Reais;...;Mil Reais;536024;Mil Reais;...;Mil Reais;14;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;502;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;9351;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;68155;Mil Reais;4121;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;586;Mil Reais;1003;Mil Reais;-;Mil Reais;-;Mil Reais;107;Mil Reais;-;Mil Reais;15493;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;45982;Mil Reais;373;Mil Reais;4836;Mil Reais;1156;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;714;Mil Reais
35004;4020;Mil Reais;1974;Mil Reais;-;Mil Reais;...;Mil Reais;-;Mil Reais;6047;Mil Reais;-;Mil Reais;97378;Mil Reais;5;Mil Reais;-;Mil Reais;-;Mil Reais;6915;Mil Reais;2556;Mil Reais;-;Mil Reais;187178;Mil Reais;...;Mil Reais;-;Mil Reais;1374;Mil Reais;1374;Mil Reais;-;Mil Reais;...;Mil Reais;2529321;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;300;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;1806;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;971;Mil Reais;-;Mil Reais;-;Mil Reais;60;Mil Reais;1859;Mil Reais;-;Mil Reais;-;Mil Reais;449382;Mil Reais;29202;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;585;Mil Reais;-;Mil Reais;8366;Mil Reais;10859;Mil Reais;105;Mil Reais;-;Mil Reais;3211;Mil Reais;-;Mil Reais;78811;Mil Reais;-;Mil Reais;133;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;98711;Mil Reais;579;Mil Reais;8098;Mil Reais;62203;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;98;Mil Reais
35005;1176;Mil Reais;278;Mil Reais;-;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;10675;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;498;Mil Reais;3285;Mil Reais;-;Mil Reais;16336;Mil Reais;...;Mil Reais;-;Mil Reais;427;Mil Reais;427;Mil Reais;-;Mil Reais;...;Mil Reais;748701;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;31;Mil Reais;-;Mil Reais;-;Mil Reais;163;Mil Reais;2312;Mil Reais;-;Mil Reais;-;Mil Reais;124188;Mil Reais;125321;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;47;Mil Reais;92;Mil Reais;1318;Mil Reais;2807;Mil Reais;420;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;3789;Mil Reais;-;Mil Reais;767;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;12792;Mil Reais;-;Mil Reais;4281;Mil Reais;96;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;84;Mil Reais
35006;-;Mil Reais;1252;Mil Reais;-;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;1187;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;21011;Mil Reais;-;Mil Reais;-;Mil Reais;11844;Mil Reais;...;Mil Reais;-;Mil Reais;8;Mil Reais;8;Mil Reais;-;Mil Reais;...;Mil Reais;293990;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;9340;Mil Reais;261;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;231;Mil Reais;3982;Mil Reais;-;Mil Reais;-;Mil Reais;761;Mil Reais;-;Mil Reais;9480;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;17566;Mil Reais;56;Mil Reais;-;Mil Reais;477;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais
35007;689;Mil Reais;231;Mil Reais;-;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;22983;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;804;Mil Reais;-;Mil Reais;-;Mil Reais;79433;Mil Reais;...;Mil Reais;-;Mil Reais;285;Mil Reais;285;Mil Reais;-;Mil Reais;...;Mil Reais;366860;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;20325;Mil Reais;1860;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;451;Mil Reais;13570;Mil Reais;-;Mil Reais;-;Mil Reais;130;Mil Reais;-;Mil Reais;11865;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;20715;Mil Reais;282;Mil Reais;4166;Mil Reais;5791;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais
35008;1279;Mil Reais;54;Mil Reais;-;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;38136;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;7261;Mil Reais;37;Mil Reais;-;Mil Reais;12697;Mil Reais;...;Mil Reais;-;Mil Reais;274;Mil Reais;274;Mil Reais;-;Mil Reais;...;Mil Reais;734855;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;167;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;101;Mil Reais;-;Mil Reais;70;Mil Reais;-;Mil Reais;5672;Mil Reais;-;Mil Reais;-;Mil Reais;92487;Mil Reais;436991;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;448;Mil Reais;20;Mil Reais;1569;Mil Reais;9125;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;15485;Mil Reais;-;Mil Reais;2884;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;2819;Mil Reais;2;Mil Reais;23552;Mil Reais;4284;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais
35009;9;Mil Reais;2398;Mil Reais;-;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;36926;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;2102;Mil Reais;-;Mil Reais;-;Mil Reais;32160;Mil Reais;...;Mil Reais;-;Mil Reais;51;Mil Reais;51;Mil Reais;-;Mil Reais;...;Mil Reais;859017;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;609;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;576;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;329707;Mil Reais;1238;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;46;Mil Reais;-;Mil Reais;1659;Mil Reais;28;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;21526;Mil Reais;-;Mil Reais;653;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;38954;Mil Reais;642;Mil Reais;180;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais
35010;1463;Mil Reais;-;Mil Reais;-;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;16628;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;11695;Mil Reais;4949;Mil Reais;...;Mil Reais;-;Mil Reais;32855;Mil Reais;32855;Mil Reais;-;Mil Reais;...;Mil Reais;2556462;Mil Reais;...;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;46947;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;123;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;780;Mil Reais;288;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;165341;Mil Reais;-;Mil Reais;18;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;364692;Mil Reais;14916;Mil Reais;111;Mil Reais;61582;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;-;Mil Reais;15;Mil Reais
